file	C	S	D	F	M	n	species	group
Phytomonas_sp._EM1_ORIGINAL_NON_comp.fasta_EUK.txt	123	121	2	24	108	255	Phytomonas_sp._EM1	Trypanosomatids
Phytomonas_sp._Hart1_ORIGINAL_NON_comp.fasta_EUK.txt	126	125	1	20	109	255	Phytomonas_sp._Hart1	Trypanosomatids
Porcisia_hertigi_ORIGINAL_REF_comp.fasta_EUK.txt	144	138	6	21	90	255	Porcisia_hertigi	Trypanosomatids
Rhabdomonas_costata_ORIGINAL_NON_comp.fasta_EUK.txt	162	154	8	35	58	255	Rhabdomonas_costata	Euglenozoa_Other
RhMon_ORIGINAL_NON_comp.fasta_EUK.txt	125	68	57	31	99	255	RhMon	Bodonids
Rhynchopus_humris_ORIGINAL_NON_comp.fasta_EUK.txt	176	127	49	19	60	255	Rhynchopus_humris	Euglenozoa_Other
Saccharomyces_cerevisiae_ORIGINAL_denovo.fasta_EUK.txt	111	99	12	7	137	255	Saccharomyces_cerevisiae	Other
Saccharomyces_cerevisiae_ORIGINAL_REF.fasta_EUK.txt	239	237	2	2	14	255	Saccharomyces_cerevisiae	Other
Strigomonas_culicis_ORIGINAL_NON_comp.fasta_EUK.txt	118	52	66	23	114	255	Strigomonas_culicis	Trypanosomatids
Sulcionema_specki_ORIGINAL_NON_comp.fasta_EUK.txt	160	157	3	39	56	255	Sulcionema_specki	Euglenozoa_Other
Trichomonas_vaginalis_ORIGINAL_denovo.fasta_EUK.txt	128	104	24	21	106	255	Trichomonas_vaginalis	Other
Trichomonas_vaginalis_ORIGINAL_REF.fasta_EUK.txt	136	104	32	14	105	255	Trichomonas_vaginalis	Other
Trypanosoma_brucei_gambiense_DAL972_ORIGINAL_NON_comp.fasta_EUK.txt	145	140	5	15	95	255	Trypanosoma_brucei_gambiense_DAL972	Trypanosomatids
Trypanosoma_congolense_IL3000_ORIGINAL_denovo.fasta_EUK.txt	132	124	8	22	101	255	Trypanosoma_congolense_IL3000	Trypanosomatids
Trypanosoma_congolense_IL3000_ORIGINAL_REF_comp.fasta_EUK.txt	122	103	19	28	105	255	Trypanosoma_congolense_IL3000	Trypanosomatids
Trypanosoma_cruzi_CLBrenerEsmeraldo-like_ORIGINAL_NON_comp.fasta_EUK.txt	102	97	5	27	126	255	Trypanosoma_cruzi_CLBrenerEsmeraldo-like	Trypanosomatids
Trypanosoma_cruzi_ORIGINAL_denovo.fasta_EUK.txt	122	116	6	26	107	255	Trypanosoma_cruzi	Trypanosomatids
Trypanosoma_cruzi_ORIGINAL_REF.fasta_EUK.txt	125	120	5	23	107	255	Trypanosoma_cruzi	Trypanosomatids
Trypanosoma_grayi_ANR4_ORIGINAL_NON_comp.fasta_EUK.txt	132	127	5	20	103	255	Trypanosoma_grayi_ANR4	Trypanosomatids
Willaertia_magna_ORIGINAL_NON_comp.fasta_EUK.txt	221	216	5	11	23	255	Willaertia_magna	Other
Willaertia_magna_ORIGINAL_REF.fasta_EUK.txt	222	193	29	7	26	255	Willaertia_magna	Other
