	10D	13G	16Ckin	Angomonas_deanei	Azumiobodo_hoyamushi	BABKIN	Blastocrithidia_nonstop	Blechomonas_ayalai	Bodo_saltans	Crithidia_fasciculata	Cruzella_marina	Cryptobia_borreli	D44	Endotrypanum_monterogeii	G65133	Gemkin	INUKIN	KUCKIN	Leishmania_infantum	Leishmania_major_strain_Friedlin	Leishmania_orientalis	Leptomonas_pyrrhocoris	Leptomonas_seymouri_BHU1095	Neobodo_designis	Novymonas_esmeraldas	OB23	Paratrypanosoma_confusum	Phytomonas_sp._EM1	Phytomonas_sp._Hart1	Porcisia_hertigi	RhMon	Strigomonas_culicis	Trypanosoma_brucei_gambiense_DAL972	Trypanosoma_congolense_IL3000	Trypanosoma_cruzi_CLBrenerEsmeraldo-like	Trypanosoma_grayi_ANR4
51-100	1499	552	970	108	106	971	0	55	431	0	872	111	285	0	998	77	435	455	0	0	0	0	0	127	93	472	0	0	0	0	793	0	0	319	336	120
101-150	616	0	101	0	0	394	0	0	101	0	221	0	118	101	370	138	265	121	0	0	0	0	0	0	0	116	0	0	0	0	253	0	0	0	115	0
151-200	499	158	184	0	0	0	0	0	153	0	0	0	0	0	0	181	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201-500	245	0	0	0	0	273	0	0	0	0	0	0	226	0	239	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	255	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	24.5	28.0	36.0	54.3	21.4	35.5	74.5	74.0	39.4	73.2	13.3	32.8	44.0	74.1	17.0	61.3	46.8	17.4	79.2	80.7	80.7	72.8	77.3	44.2	73.8	36.9	67.8	77.9	74.8	82.4	15.4	57.6	76.5	56.8	66.1	59.8
'2	14.8	20.3	13.4	14.8	10.6	13.5	10.9	11.0	13.6	10.6	16.1	12.1	15.6	10.8	16.3	11.5	12.5	17.4	9.9	9.3	9.6	10.3	10.3	15.7	9.8	14.4	12.0	9.3	10.9	9.9	22.0	13.3	9.7	13.4	11.7	12.1
'3	8.6	10.6	6.8	6.3	4.2	7.3	3.1	3.5	5.6	4.5	7.1	5.3	8.4	3.8	9.5	4.5	5.9	9.5	3.9	3.8	3.8	4.3	3.9	7.5	3.7	7.3	3.3	3.2	2.9	3.4	10.5	5.5	3.1	3.4	3.6	4.3
