Orthogroup	10D	13G	16Ckin	Angomonas_deanei	Azumiobodo_hoyamushi	BABKIN	Blastocrithidia_nonstop	Blechomonas_ayalai	Bodo_saltans	Crithidia_fasciculata	Cruzella_marina	Cryptobia_borreli	D44	Endotrypanum_monterogeii	G65133	Gemkin	INUKIN	KUCKIN	Leishmania_infantum	Leishmania_major_strain_Friedlin	Leishmania_orientalis	Leptomonas_pyrrhocoris	Leptomonas_seymouri_BHU1095	Neobodo_designis	Novymonas_esmeraldas	OB23	Paratrypanosoma_confusum	Phytomonas_sp._EM1	Phytomonas_sp._Hart1	Porcisia_hertigi	RhMon	Strigomonas_culicis	Trypanosoma_brucei_gambiense_DAL972	Trypanosoma_congolense_IL3000	Trypanosoma_cruzi_CLBrenerEsmeraldo-like	Trypanosoma_grayi_ANR4	Total
OG0000067	21	20	18	0	0	17	0	0	2	0	1	0	8	0	29	1	16	20	0	0	0	0	0	8	0	20	0	0	0	0	13	0	0	0	0	0	194
OG0000068	11	15	11	3	2	14	0	4	11	3	7	0	12	3	20	8	16	19	0	0	0	3	0	12	3	13	0	0	0	1	0	2	0	0	0	0	193
OG0000069	20	10	8	4	6	8	1	1	4	5	7	0	8	3	12	4	9	5	5	4	4	5	4	13	4	12	5	1	2	2	3	3	4	0	2	4	192
OG0000070	0	0	0	13	0	0	12	9	0	15	0	0	0	8	0	0	0	0	31	25	7	14	12	0	13	0	5	0	1	4	1	10	0	0	5	7	192
OG0000071	13	9	8	2	3	11	1	2	2	8	4	1	9	2	24	6	8	10	3	3	2	10	3	7	4	15	2	1	1	2	5	2	2	2	1	2	190
OG0000072	2	2	2	2	22	6	0	0	6	0	11	0	5	0	19	0	4	11	1	0	0	12	0	4	9	4	3	0	0	0	4	0	3	17	0	41	190
OG0000073	44	12	3	0	1	14	0	0	0	0	25	0	11	0	43	0	5	8	0	0	0	0	0	10	0	7	0	0	0	0	5	0	0	0	0	0	188
OG0000074	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	181	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	187
OG0000075	1	1	1	0	1	1	0	2	3	10	0	1	1	9	1	1	1	2	7	8	3	10	5	1	16	1	0	0	0	2	1	1	12	24	15	44	186
OG0000076	0	0	0	0	0	22	0	0	0	0	0	0	2	0	1	0	159	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	186
OG0000077	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	185
OG0000078	6	6	10	5	5	12	3	3	5	4	4	4	7	5	8	7	7	11	4	4	4	4	4	6	4	7	2	2	2	4	12	3	2	3	1	4	184
OG0000079	14	8	6	3	4	6	2	5	5	4	4	2	6	5	7	5	5	5	5	5	5	5	5	7	4	7	5	3	4	4	5	3	4	3	5	5	180
OG0000080	18	7	5	5	4	5	3	5	5	5	7	1	6	5	5	5	4	4	5	5	5	5	5	6	4	4	5	4	3	5	2	2	5	5	4	6	179
OG0000081	21	23	6	0	0	5	1	2	1	8	7	0	5	2	4	1	5	5	5	4	5	7	7	6	6	7	5	1	0	2	13	6	0	0	7	2	179
OG0000082	18	15	12	0	3	11	0	1	9	1	7	5	11	0	18	9	11	12	0	0	0	0	1	7	1	11	5	0	0	0	4	0	2	2	2	1	179
OG0000083	8	6	5	3	4	6	4	5	6	5	6	2	6	5	5	3	6	5	5	5	5	5	5	6	3	4	6	6	5	5	5	4	5	5	5	5	179
OG0000084	18	12	10	3	3	4	2	4	2	3	10	1	16	3	12	6	5	6	3	3	3	3	3	9	2	8	1	0	2	3	12	2	2	1	1	1	179
OG0000085	3	6	3	0	0	2	0	0	0	0	0	0	2	0	6	1	142	5	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	0	179
OG0000086	8	9	7	2	7	10	4	3	5	3	9	4	17	3	10	3	7	5	3	3	3	4	3	12	1	9	2	2	3	3	5	1	1	1	2	3	177
OG0000087	7	10	6	12	4	4	3	4	5	4	4	6	4	4	7	5	4	7	4	4	4	4	4	2	3	6	5	2	4	4	7	4	4	6	5	4	176
OG0000088	9	5	6	4	3	6	6	6	5	5	2	2	4	5	5	3	4	8	5	5	5	5	5	5	5	5	5	6	4	5	2	3	4	5	6	8	176
OG0000089	8	7	6	7	2	6	4	4	3	8	2	2	6	6	8	5	5	6	5	6	3	7	3	5	6	6	4	3	3	4	6	5	4	2	3	5	175
OG0000090	18	25	19	0	1	6	0	1	6	1	1	2	30	0	13	2	8	10	0	0	0	1	0	4	0	18	2	1	1	0	1	0	0	0	1	2	174
OG0000091	5	9	4	7	4	4	3	3	6	3	4	7	3	4	10	3	4	9	4	4	4	4	4	6	3	4	4	4	3	4	10	3	4	7	5	4	173
OG0000092	21	14	10	1	0	11	0	4	8	1	6	2	9	0	14	4	8	9	0	0	0	1	1	8	1	25	4	0	0	0	6	1	0	0	1	2	172
